# Wavelength(micron) (rp/rs)^2 Error_Bars
3.832511648186592179e+00 2.880339122822005594e-03 1.000000000000000082e-05
3.819284250573234285e+00 2.886448773590762854e-03 1.000000000000000082e-05
3.806102505540659653e+00 2.887713936418597697e-03 1.000000000000000082e-05
3.792966255525137775e+00 2.895876590366669532e-03 1.000000000000000082e-05
3.779875343506744478e+00 2.893423777515899756e-03 1.000000000000000082e-05
3.766829613007490973e+00 2.891665479479362758e-03 1.000000000000000082e-05
3.753828908089452021e+00 2.890041401528401551e-03 1.000000000000000082e-05
3.740873073352900313e+00 2.891095962666029567e-03 1.000000000000000082e-05
3.727961953934450179e+00 2.898937608718254056e-03 1.000000000000000082e-05
3.715095395505203513e+00 2.893688093677473060e-03 1.000000000000000082e-05
3.702273244268911245e+00 2.897177179227295677e-03 1.000000000000000082e-05
3.689495346960128597e+00 2.897989163153433592e-03 1.000000000000000082e-05
3.676761550842388093e+00 2.887998760326099517e-03 1.000000000000000082e-05
3.664071703706370364e+00 2.898338985551490981e-03 1.000000000000000082e-05
3.651425653868084709e+00 2.896705292601818062e-03 1.000000000000000082e-05
3.638823250167060319e+00 2.892725810897244388e-03 1.000000000000000082e-05
3.626264341964533511e+00 2.902505611661063481e-03 1.000000000000000082e-05
3.613748779141651823e+00 2.903085143344696917e-03 1.000000000000000082e-05
3.601276412097677682e+00 2.915689697846647176e-03 1.000000000000000082e-05
3.588847091748198714e+00 2.912713456697592872e-03 1.000000000000000082e-05
3.576460669523348734e+00 2.914131730956106767e-03 1.000000000000000082e-05
3.564116997366029604e+00 2.906364230611712274e-03 1.000000000000000082e-05
3.551815927730143763e+00 2.909921431298474574e-03 1.000000000000000082e-05
3.539557313578828968e+00 2.925578923795276679e-03 1.000000000000000082e-05
3.527341008382697485e+00 2.912575061347076871e-03 1.000000000000000082e-05
3.515166866118092592e+00 2.912867599847939089e-03 1.000000000000000082e-05
3.503034741265336205e+00 2.909756800927190343e-03 1.000000000000000082e-05
3.490944488806991153e+00 2.933582618616571280e-03 1.000000000000000082e-05
3.478895964226131898e+00 2.932144481450976985e-03 1.000000000000000082e-05
3.466889023504608147e+00 2.930749924567057317e-03 1.000000000000000082e-05
3.454923523121333773e+00 2.929085723878963390e-03 1.000000000000000082e-05
3.442999320050563750e+00 2.937560843285501409e-03 1.000000000000000082e-05
3.431116271760187963e+00 2.938503414666863208e-03 1.000000000000000082e-05
3.419274236210027684e+00 2.942884580628302160e-03 1.000000000000000082e-05
3.407473071850133373e+00 2.948994099328481125e-03 1.000000000000000082e-05
3.395712637619098917e+00 2.935816763938239003e-03 1.000000000000000082e-05
3.383992792942372763e+00 2.941148715687556293e-03 1.000000000000000082e-05
3.372313397730576146e+00 2.940199567335574030e-03 1.000000000000000082e-05
3.360674312377830653e+00 2.939808800555956080e-03 1.000000000000000082e-05
3.349075397760089334e+00 2.934157811325503046e-03 1.000000000000000082e-05
3.337516515233470482e+00 2.936585539303247262e-03 1.000000000000000082e-05
