CENTRALWAVELNG,PL_TRANDEP,PL_TRANDEPERR
3.23534,0.29518,0.02795
3.23601,0.30121,0.02721
3.23669,0.331,0.02696
3.23737,0.30616,0.02713
3.23804,0.2759,0.02704
3.23872,0.32135,0.02622
3.23939,0.30132,0.02418
3.24075,0.25022,0.0272
3.24143,0.33016,0.0269
3.2421,0.25614,0.02621
3.24278,0.28099,0.02765
3.24346,0.2726,0.02704
3.24414,0.34495,0.02639
3.24481,0.25681,0.02655
3.24549,0.28444,0.0267
3.24617,0.3385,0.02733
3.24684,0.27367,0.02671
3.24752,0.32715,0.02638
3.2482,0.33495,0.02632
3.24887,0.28346,0.02662
3.24955,0.30702,0.02748
3.25022,0.31507,0.02591
3.2509,0.3069,0.02688
3.25158,0.35711,0.02627
3.25226,0.35871,0.02626
3.25293,0.35382,0.02596
3.25361,0.30621,0.02758
3.25429,0.32442,0.02726
3.25496,0.25056,0.0265
3.25564,0.30703,0.02657
3.25632,0.30024,0.02632
3.25699,0.3204,0.02701
3.25767,0.3469,0.02778
3.25835,0.28548,0.02738
3.25902,0.2665,0.02504
3.2597,0.22626,0.02461
3.26038,0.28602,0.02638
3.26105,0.26215,0.02643
3.26173,0.32814,0.02492
3.26241,0.35683,0.0264
3.26308,0.3444,0.02737
3.26444,0.32238,0.02748
3.26511,0.24278,0.02665
3.26579,0.30805,0.02617
3.26647,0.33186,0.02702
3.26714,0.29644,0.02624
3.26782,0.31433,0.02665
3.26849,0.28935,0.02736
3.26918,0.29627,0.02777
3.26985,0.30052,0.02729
3.27052,0.30561,0.02592
3.2712,0.26529,0.0264
3.27188,0.29044,0.02734
3.27255,0.29529,0.02708
3.27323,0.27673,0.02532
3.27391,0.26867,0.02656
3.27458,0.31314,0.02623
3.27526,0.27767,0.02618
3.27594,0.33077,0.02646
3.27661,0.29598,0.02667
3.27729,0.27671,0.02567
3.27797,0.28436,0.02646
3.27864,0.31292,0.02698
3.27932,0.3258,0.02723
3.28,0.32499,0.02639
3.28067,0.31592,0.02774
3.28135,0.27684,0.02692
3.28202,0.27196,0.0268
3.2827,0.27655,0.0269
3.28338,0.34978,0.02693
3.28405,0.30539,0.02586
3.28473,0.32094,0.02734
3.28541,0.31292,0.02703
3.28609,0.35883,0.02792
3.28676,0.29624,0.02699
3.28744,0.29165,0.02577
3.28811,0.30206,0.02629
3.28879,0.36305,0.0273
3.28946,0.28728,0.02561
3.29014,0.31951,0.02578
3.29082,0.30621,0.02588
3.2915,0.28306,0.02539
3.29217,0.29133,0.02733
3.29285,0.28666,0.02699
3.29352,0.31113,0.02698
3.2942,0.30141,0.02781
3.29488,0.33934,0.02673
3.29556,0.36228,0.02679
3.29623,0.3095,0.02676
3.29691,0.29916,0.02645
3.29758,0.31238,0.02632
3.29826,0.2684,0.02664
3.29894,0.30216,0.03157
3.29961,0.27476,0.02488
3.30029,0.30721,0.02635
3.30097,0.29959,0.02715
3.30164,0.31533,0.02787
3.30232,0.29261,0.02594
3.30299,0.26807,0.02665
3.30367,0.31022,0.02556
3.30435,0.31583,0.02585
3.30502,0.32065,0.02602
3.3057,0.31606,0.02672
3.30638,0.29008,0.02625
3.30705,0.29728,0.02629
3.30774,0.26803,0.02539
3.3084,0.24466,0.02599
3.30908,0.26488,0.02571
3.30976,0.267,0.02687
3.31044,0.27802,0.02606
3.31111,0.30068,0.02558
3.31179,0.31712,0.02662
3.31246,0.30494,0.02689
3.31314,0.29681,0.02707
3.31381,0.25439,0.02648
3.31449,0.3388,0.02705
3.31517,0.26369,0.02556
3.31584,0.28963,0.02691
3.31652,0.34467,0.02655
3.3172,0.2938,0.02675
3.31787,0.29552,0.02724
3.31855,0.27847,0.02559
3.31923,0.33903,0.02708
3.3199,0.30914,0.02824
3.32058,0.3041,0.0263
3.32125,0.26656,0.02703
3.32193,0.32117,0.02573
3.32328,0.35773,0.02612
3.32396,0.2894,0.02558
3.32463,0.28585,0.02568
3.32531,0.29319,0.02691
3.32599,0.28383,0.02676
3.32666,0.28743,0.02679
3.32802,0.29887,0.02588
3.32869,0.28919,0.02522
3.32937,0.27251,0.02663
3.33004,0.29228,0.02566
3.33072,0.26214,0.02653
3.3314,0.26629,0.02651
3.33207,0.33248,0.02663
3.33275,0.35162,0.02649
3.33342,0.2649,0.02583
3.3341,0.29282,0.02508
3.33478,0.28541,0.02625
3.33545,0.32279,0.02652
3.33613,0.31926,0.02544
3.3368,0.28193,0.02676
3.33748,0.28029,0.02705
3.33816,0.28969,0.02922
3.33883,0.28811,0.02753
3.33951,0.26376,0.02685
3.34019,0.31186,0.02724
3.34086,0.30253,0.02721
3.34154,0.31503,0.02562
3.34221,0.35835,0.02632
3.34289,0.28086,0.02792
3.34356,0.30915,0.027
3.34424,0.32629,0.02606
3.34492,0.29809,0.02704
3.34559,0.35259,0.02681
3.34627,0.27189,0.02657
3.34694,0.27926,0.02628
3.34762,0.31082,0.02596
3.34829,0.31425,0.02748
3.34897,0.29481,0.02634
3.34965,0.28418,0.02579
3.35032,0.31372,0.02584
3.351,0.34175,0.02758
3.35168,0.27439,0.0262
3.35235,0.29031,0.02604
3.35303,0.31535,0.02635
3.3537,0.28886,0.02666
3.35438,0.27828,0.02623
3.35506,0.34583,0.02807
3.35573,0.23694,0.02565
3.35641,0.28401,0.02647
3.35708,0.33316,0.02725
3.35776,0.32001,0.0257
3.35843,0.28813,0.02736
3.35911,0.33114,0.02661
3.35979,0.34105,0.02693
3.36046,0.28277,0.02656
3.36114,0.30076,0.02592
3.36181,0.30476,0.02667
3.36249,0.3121,0.02706
3.36316,0.27973,0.02762
3.36384,0.26577,0.02523
3.36452,0.26562,0.02733
3.36519,0.34037,0.02631
3.36654,0.29708,0.02613
3.36722,0.27412,0.02689
3.3679,0.29658,0.02606
3.36857,0.35582,0.02719
3.36925,0.32528,0.0265
3.36992,0.33214,0.02597
3.3706,0.26643,0.02607
3.37128,0.26029,0.02762
3.37195,0.31737,0.02674
3.3733,0.27285,0.02512
3.37398,0.26422,0.0254
3.37533,0.33826,0.02576
3.37601,0.26028,0.02687
3.37668,0.27955,0.0272
3.37736,0.27881,0.02716
3.37804,0.31243,0.02746
3.37871,0.32673,0.02542
3.37938,0.29803,0.02682
3.38006,0.2658,0.02741
3.38074,0.26228,0.02693
3.38141,0.30961,0.02659
3.38209,0.28576,0.02716
3.38276,0.28875,0.02724
3.38344,0.34756,0.02711
3.38412,0.30876,0.02622
3.38546,0.30765,0.02728
3.38614,0.29243,0.02636
3.38682,0.29462,0.02681
3.38749,0.37426,0.02631
3.38817,0.30464,0.02681
3.38884,0.30322,0.02621
3.38952,0.23305,0.02779
3.39019,0.3084,0.02621
3.39087,0.29306,0.02601
3.39155,0.28421,0.02652
